"player","svc_matches","svc_aces_per_game","svc_dfs_per_game","svc_ace_to_df_ratio","svc_first_serve_pct","svc_first_serve_win_pct","svc_second_serve_win_pct","svc_service_pts_win_pct","svc_bp_save_pct","svc_hold_pct","tour","window","surface","ret_matches","ret_opp_aces_per_game","ret_opp_dfs_per_game","ret_opp_first_serve_pct","ret_first_return_win_pct","ret_second_return_win_pct","ret_return_pts_win_pct","ret_bp_win_pct","ret_opp_hold_pct"
"158748",1,0,0.25,0,0.7719298245614035,0.4772727272727273,0.23076923076923078,0.42105263157894735,0.4,0.25,"ATP","2026 ytd","clay",1,0.875,0.125,0.6666666666666666,0.3055555555555556,0.5555555555555556,0.38888888888888884,0.2857142857142857,0.75
"161262",3,0.6216216216216216,0.21621621621621623,2.875,0.6607142857142857,0.6594594594594595,0.5578947368421052,0.625,0.6363636363636364,0.7837837837837838,"ATP","2026 ytd","clay",3,0.3783783783783784,0.10810810810810811,0.6245210727969349,0.2760736196319018,0.47959183673469385,0.3524904214559387,0.3888888888888889,0.8108108108108109
"169486",1,0.2222222222222222,0,,0.8,0.5555555555555556,0,0.4444444444444444,0.375,0.4444444444444444,"ATP","2026 ytd","clay",1,0.25,0,0.8727272727272727,0.4375,0.2857142857142857,0.4181818181818182,0.5,0.75
"169496",7,0.5581395348837209,0.09302325581395349,6,0.6593001841620626,0.7178770949720671,0.5135135135135135,0.6482504604051565,0.6,0.8604651162790697,"ATP","2026 ytd","clay",7,0.36046511627906974,0.22093023255813954,0.6666666666666666,0.30000000000000004,0.48571428571428577,0.36190476190476195,0.46875,0.8255813953488372
"185434",1,0.3333333333333333,0.4444444444444444,0.75,0.5714285714285714,0.6,0.4666666666666667,0.5428571428571428,0.6666666666666666,0.6666666666666666,"ATP","2026 ytd","clay",1,0.1111111111111111,0,0.6666666666666666,0.21875,0.3125,0.25,,1
"196122",4,0.14634146341463414,0.2682926829268293,0.5454545454545454,0.622895622895623,0.6270270270270271,0.5178571428571429,0.5858585858585859,0.7037037037037037,0.8048780487804879,"ATP","2026 ytd","clay",4,0.2,0.3,0.6742424242424242,0.3314606741573034,0.4767441860465116,0.3787878787878788,0.45,0.775
"199395",6,0.27419354838709675,0.25806451612903225,1.0625,0.6537467700258398,0.7154150197628458,0.5223880597014925,0.648578811369509,0.7407407407407407,0.8870967741935484,"ATP","2026 ytd","clay",6,0.3442622950819672,0.21311475409836064,0.6143187066974596,0.33834586466165417,0.5508982035928144,0.4203233256351039,0.375,0.7540983606557377
"207034",1,0.18181818181818182,0.36363636363636365,0.5,0.6166666666666667,0.6756756756756757,0.4782608695652174,0.6,0.6666666666666666,0.9090909090909091,"ATP","2026 ytd","clay",1,0.7,0.4,0.6588235294117647,0.3214285714285714,0.48275862068965514,0.3764705882352941,0,1
"212762",2,0.15,0.2,0.75,0.6639344262295082,0.5925925925925926,0.4634146341463415,0.5491803278688525,0.45454545454545453,0.7,"ATP","2026 ytd","clay",2,0.5789473684210527,0.05263157894736842,0.6846153846153846,0.2471910112359551,0.5365853658536586,0.3384615384615385,0.3333333333333333,0.8947368421052632
"221012",6,0.23076923076923078,0.19230769230769232,1.2,0.610079575596817,0.7,0.5578231292517006,0.6445623342175066,0.8181818181818182,0.8846153846153846,"ATP","2026 ytd","clay",6,0.32727272727272727,0.2,0.6392961876832844,0.3532110091743119,0.5934959349593496,0.43988269794721413,0.4166666666666667,0.7272727272727273
"221515",3,0.96875,0.03125,31,0.6084905660377359,0.7054263565891473,0.5421686746987951,0.6415094339622641,0.7142857142857143,0.875,"ATP","2026 ytd","clay",3,0.28125,0.3125,0.6308411214953271,0.32592592592592595,0.4810126582278481,0.383177570093458,0.47058823529411764,0.75
"221806",4,0.1282051282051282,0.20512820512820512,0.625,0.692,0.6416184971098265,0.5324675324675324,0.608,0.5789473684210527,0.7948717948717948,"ATP","2026 ytd","clay",4,0.23684210526315788,0.15789473684210525,0.632183908045977,0.3151515151515152,0.47916666666666663,0.3754789272030651,0.4,0.7894736842105263
"232057",2,0.4375,0.3125,1.4,0.6907216494845361,0.582089552238806,0.3333333333333333,0.5051546391752577,0.3,0.5625,"ATP","2026 ytd","clay",2,0.23529411764705882,0.058823529411764705,0.7294117647058823,0.16129032258064513,0.3913043478260869,0.22352941176470587,0,1
"248861",5,0.3275862068965517,0.1896551724137931,1.7272727272727273,0.7367021276595744,0.6570397111913358,0.5353535353535354,0.625,0.6818181818181818,0.8793103448275862,"ATP","2026 ytd","clay",5,0.25862068965517243,0.27586206896551724,0.6648793565683646,0.3104838709677419,0.5920000000000001,0.4048257372654156,0.3939393939393939,0.7758620689655172
"255420",2,0.4,0.32,1.25,0.6592592592592592,0.7415730337078652,0.45652173913043476,0.6444444444444445,0.42857142857142855,0.84,"ATP","2026 ytd","clay",2,0.28,0.16,0.6792452830188679,0.33333333333333337,0.43137254901960786,0.3647798742138365,0.3,0.88
"258908",7,0.40229885057471265,0.12643678160919541,3.1818181818181817,0.6647173489278753,0.7038123167155426,0.5290697674418605,0.645224171539961,0.631578947368421,0.8390804597701149,"ATP","2026 ytd","clay",7,0.21176470588235294,0.16470588235294117,0.64376130198915,0.3426966292134831,0.4974619289340102,0.39783001808318263,0.34782608695652173,0.8117647058823529
"264372",1,0.5454545454545454,0.18181818181818182,3,0.6774193548387096,0.7142857142857143,0.6,0.6774193548387096,0,0.9090909090909091,"ATP","2026 ytd","clay",1,0.2,0.1,0.7183098591549296,0.27450980392156865,0.35,0.295774647887324,0,1
