"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Jesper De Jong","21","0.32","0.17","62.2","32.5","47.7","38.2","38.1","76.3"
"Andrea Pellegrino","6","0.36","0.18","62.2","32.5","53","40.2","58.5","68.4"
"Patrick Zahraj","6","0.41","0.32","62.2","32.4","48.5","38.5","37.3","72.1"
"Ugo Humbert","7","0.37","0.32","62.2","31.2","48.2","37.6","26.2","81"
"Alejandro Davidovich Fokina","15","0.4","0.25","62.2","35.7","53.7","42.5","44.1","65.7"
"Liam Draxl","3","0.42","0.27","62.1","25.3","51.7","35.3","50","84.6"
"Justin Engel","4","0.37","0.09","62.1","19.8","45.5","29.5","36.4","90.7"
"Holger Vitus Nodskov Rune","14","0.27","0.21","62.1","30.7","51.8","38.7","44.6","75"
"Daniel Rincon","3","0.27","0.27","62.1","35.6","44.4","38.9","44.4","73.3"
"Bu Yunchaokete","9","0.31","0.24","62","29.8","43.8","35.1","32.8","82.1"
"Luciano Darderi","29","0.38","0.2","62","34.5","49.6","40.2","38.1","75.9"
"Nicolas Jarry","14","0.31","0.29","62","27","44.7","33.7","25.3","87.8"
"Alex Michelsen","7","0.28","0.18","61.9","30.1","45.8","36.1","35.4","79.3"
"Hubert Hurkacz","11","0.51","0.18","61.9","24.4","49.8","34.1","42.6","81.7"
"Alexandre Muller","20","0.41","0.22","61.9","28.8","52.1","37.7","41.7","77.5"
"Arthur Rinderknech","16","0.36","0.15","61.8","28.8","40.7","33.3","30.4","85.4"
"Tallon Griekspoor","18","0.43","0.26","61.8","28.9","47","35.8","37","81.3"
"Luca Van Assche","7","0.28","0.15","61.8","34.4","51.4","40.9","40.7","70.7"
"Sumit Nagal","8","0.34","0.2","61.8","33.9","53.3","41.3","43.4","70.9"
"Thiago Agustin Tirante","12","0.5","0.22","61.8","28.2","49.4","36.3","39.1","80.1"
"Marco Trungelliti","9","0.51","0.22","61.7","27.8","50.2","36.3","43.8","79"
"Novak Djokovic","12","0.43","0.13","61.6","31.5","53.3","39.9","38.6","75.2"
"Lloyd George Harris","6","0.36","0.19","61.6","30.2","44.3","35.6","31.3","80.5"
"Hugo Gaston","16","0.33","0.15","61.6","30.5","46.5","36.7","42.2","76.9"
"Marin Cilic","5","0.42","0.21","61.6","31.7","43","36","32.3","81.1"
"Laslo Djere","24","0.2","0.26","61.5","31.1","52","39.1","44","73.8"
"Pierre-Hugues Herbert","12","0.3","0.18","61.5","27.9","46.1","34.9","42.3","81.6"
"Federico Agustin Gomez","7","0.26","0.35","61.5","32","54.9","40.8","42.9","71"
"Nuno Borges","14","0.42","0.19","61.4","30.6","49.2","37.8","33.9","78.1"
"Juan Pablo Ficovich","7","0.33","0.26","61.3","32.1","49.3","38.7","41.3","76.3"
"Miomir Kecmanovic","8","0.57","0.22","61.3","29.3","47.5","36.4","28","81.9"
"Marcelo Tomas Barrios-Vera","11","0.32","0.2","61.2","28.4","50.2","36.8","44.4","77.4"
"Sebastian Baez","25","0.22","0.23","61.2","37.1","51.6","42.8","43","67.4"
"Alex De Minaur","15","0.22","0.27","61.1","34.5","54.1","42.1","52.8","65.7"
"Daniel Elahi Galan","14","0.28","0.23","61","33.8","44.8","38.1","42.3","77"
"Fabian Marozsan","15","0.43","0.23","61","31.8","48.6","38.4","40.4","75.6"
"Clement Tabur","4","0.29","0.33","61","36.2","51.5","42.1","37.5","68.8"
"Gustavo Heide","6","0.62","0.33","60.9","24.5","46.2","33","30.6","85.9"
"Learner Tien","9","0.33","0.29","60.9","24.2","53.4","35.6","39.3","78.4"
