"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Adam Walton","6","0.56","0.22","2.55","63.2","69.9","51.7","63.2","66","78.8"
"Shintaro Mochizuki","5","0.33","0.13","2.54","57","73.7","54.7","65.6","63","79.8"
"Bu Yunchaokete","3","0.58","0.23","2.52","62.8","70.1","45.9","61.1","66.7","81.4"
"Quentin Halys","6","0.93","0.37","2.51","59.4","81.6","49.7","68.6","45","84.5"
"Marcelo Tomas Barrios-Vera","3","0.35","0.14","2.5","74.2","70.6","67.8","69.9","76.9","91.9"
"Laslo Djere","7","0.65","0.26","2.5","60.6","75.1","50","65.2","64.3","82.4"
"Marcos Giron","6","0.33","0.14","2.36","63.8","68.7","53.2","63.1","54.1","79"
"Mackenzie McDonald","10","0.33","0.14","2.36","70.1","73.5","53.7","67.6","68","86.3"
"Cameron Norrie","7","0.47","0.2","2.35","68.7","71.4","52.7","65.5","67.2","84.2"
"Leandro Riedi","4","0.54","0.23","2.35","66.4","78.2","55.2","70.4","55.6","86.9"
"Benjamin Hassan","5","0.82","0.35","2.34","53.3","73.9","53","64.2","50","83.9"
"Sebastian Ofner","7","0.75","0.32","2.34","52.1","78.9","54.1","67","63.3","87.5"
"Alexander Blockx","6","0.38","0.17","2.24","60.8","71.9","51.1","63.8","70.7","83.3"
"Daniil Medvedev","8","0.82","0.37","2.22","64.5","78.3","50.9","68.6","68.4","94"
"Tommy Paul","3","0.42","0.19","2.21","56.4","76.1","53.7","66.3","60","83.3"
"Hamad Medjedovic","5","0.76","0.35","2.17","62.8","72.4","53.4","65.3","60.9","83.3"
"Kyrian Jacquet","3","0.5","0.23","2.17","59.4","78.4","43.9","64.4","60","81.8"
"Alex Michelsen","9","0.49","0.23","2.13","65.3","72.3","53.3","65.7","58.3","82.9"
"Luciano Darderi","6","0.42","0.2","2.1","64.7","71.4","55.2","65.7","68","84.2"
"Ethan Quinn","7","0.73","0.35","2.09","60.7","73.4","49.4","63.9","55.6","76.7"
"Rinky Hijikata","4","0.29","0.14","2.07","59.8","67.3","57.5","63.4","56.7","76.8"
"Luka Pavlovic","3","0.7","0.34","2.06","60.4","73.6","56.1","66.7","86.2","91.5"
"Jesper De Jong","7","0.8","0.39","2.05","56.3","75.6","49.5","64.2","68.3","83.2"
"Ryan Peniston","3","0.26","0.13","2","75.8","65.3","51.1","61.9","66.7","71"
"Jan-Lennard Struff","6","0.73","0.37","1.97","55.8","76.4","51.3","65.3","66.7","83.3"
"Aleksandar Kovacevic","5","0.51","0.27","1.89","59.6","74.1","45.3","62.5","65.8","79.4"
"Daniel Altmaier","4","0.53","0.28","1.89","60.1","68.8","47","60.1","62.5","74.5"
"Mattia Bellucci","9","0.6","0.32","1.88","57.1","78.3","55.3","68.4","63.6","86.2"
"Jenson Brooksby","10","0.3","0.16","1.88","65","67.8","53.4","62.8","61.8","78"
"Stefanos Tsitsipas","3","0.71","0.4","1.78","56","72.5","56.3","65.4","57.1","82.9"
"Ugo Humbert","8","0.4","0.23","1.74","62.1","72.9","55.3","66.2","56.5","81.5"
"Nikoloz Basilashvili","8","0.52","0.3","1.73","55.9","77","55.7","67.6","51.1","82"
"Tallon Griekspoor","5","0.51","0.3","1.7","62.6","75.3","50.3","66","80","89.5"
"Miomir Kecmanovic","5","0.34","0.2","1.7","66.7","71.1","51.7","64.6","56.8","80.5"
"Hamish Stewart","3","0.72","0.43","1.67","61.5","73.5","47.2","63.4","74.2","82.6"
"Marton Fucsovics","11","0.47","0.29","1.62","61.2","79.1","50.4","67.9","58","87.3"
"Alejandro Davidovich Fokina","7","0.32","0.2","1.6","66.8","70.9","57.6","66.5","68","84.5"
"Alexandre Muller","3","0.48","0.3","1.6","64","65.3","43.8","57.6","66.7","70"
"Mark Lajal","6","0.44","0.28","1.57","65.9","74.3","51.9","66.7","73.3","86.9"
"Holger Vitus Nodskov Rune","4","0.55","0.35","1.57","59.2","79.1","49.7","67.1","74.2","87.1"
"Gael Monfils","4","0.68","0.45","1.51","60.5","71.3","46.6","61.5","60.5","79.7"
"Fabian Marozsan","5","0.31","0.21","1.48","68.3","67.5","51.6","62.5","59.4","79"
"Corentin Moutet","13","0.35","0.24","1.46","64.3","73.3","52","65.7","71.1","85.7"
"Lukas Klein","3","0.4","0.29","1.38","71.4","72.8","50.8","66.5","50","82.9"
"Jaime Faria","4","0.55","0.4","1.38","64.6","72.4","42.5","61.8","57.1","83"
"Botic Van de Zandschulp","3","0.53","0.4","1.33","61.6","71.7","44.6","61.3","64.7","77.4"
"Alex De Minaur","5","0.24","0.18","1.33","54.2","72","58.2","65.6","60.6","82.4"
"Pierre-Hugues Herbert","5","0.92","0.71","1.3","50.2","77.9","52.7","65.3","61.9","83.3"
"Daniel Evans","11","0.32","0.25","1.28","58.3","68.7","49.2","60.5","59.3","75.7"
"Camilo Ugo Carabelli","3","0.37","0.31","1.19","52.6","61.8","54.2","58.2","59.1","74.3"
"Vit Kopriva","3","0.43","0.37","1.16","53.8","70.9","52.6","62.5","73.7","80.4"
"Learner Tien","8","0.53","0.46","1.15","59.4","72.9","51","64","67.3","81.1"
"Jaume Munar","6","0.38","0.34","1.12","62.7","73.4","49.8","64.5","48.6","80"
"Jay Clarke","3","0.37","0.33","1.12","60.8","71","39.1","58.5","21.4","63.3"
"Chun Hsin Tseng","4","0.41","0.37","1.11","59.3","68.6","47.1","59.8","61.1","74.1"
"Zizou Bergs","8","0.56","0.6","0.93","53.6","71.9","49.7","61.6","68.9","78.9"
"Damir Dzumhur","3","0.31","0.34","0.91","56.2","66.4","53.7","60.8","47.4","71.4"
"Filip Misolic","4","0.29","0.33","0.88","59.1","66.4","55.4","61.9","60.5","76.2"
"Martin Landaluce","3","0.31","0.38","0.82","63.9","70.4","42.9","60.5","64.3","76.2"
"Mariano Navone","4","0.21","0.26","0.81","59.4","69.3","50.7","61.8","48.1","75.4"
"Denis Shapovalov","4","0.41","0.51","0.8","57.4","65.7","48.5","58.4","56.4","73"
"Jack Pinnington Jones","3","0.4","0.51","0.78","61.1","69.7","43.2","59.4","60","73.3"
"Yoshihito Nishioka","3","0.12","0.18","0.67","65.1","70.3","47.3","62.3","42.9","75.8"
"Nishesh Basavareddy","5","0.24","0.36","0.67","55.3","67","50.6","59.6","60","72.4"
"Jacob Fearnley","7","0.36","0.6","0.6","65.4","69.4","45.3","61.1","60.8","74"
"Fabio Fognini","3","0.06","0.38","0.16","58.6","68.6","56.2","63.4","48","75.5"
"Pedro Martinez","5","0.02","0.3","0.07","67.6","61.5","43.8","55.8","60.7","63.6"
