"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Lorenzo Sonego","6","0.2","0.29","0.69","63.1","67.2","42.9","58.2","56.4","69.6"
"Luca Van Assche","7","0.17","0.25","0.68","63.8","64.5","46.9","58.1","57.1","68.8"
"Andrea Collarini","3","0.11","0.17","0.65","73.5","61.7","57.1","60.5","47.4","72.2"
"Dmitry Popko","3","0.14","0.23","0.61","55.5","63.4","49.5","57.2","48.1","60"
"Matteo Martineau","3","0.25","0.44","0.57","64.7","67.1","48.2","60.4","59.1","75"
"Hugo Gaston","16","0.14","0.25","0.56","54.7","65.3","47.6","57.3","62.5","65.6"
"Alvaro Guillen Meza","5","0.17","0.31","0.55","76.1","61.9","47.3","58.4","54.5","68.8"
"Corentin Denolly","4","0.22","0.41","0.54","63.6","71.4","44.2","61.5","73.7","80.4"
"Roman Andres Burruchaga","18","0.14","0.27","0.52","63.4","63.4","50","58.5","58.5","71.1"
"Luca Nardi","7","0.22","0.42","0.52","58.8","65.7","49","58.8","59.3","69.4"
"Richard Gasquet","6","0.12","0.26","0.46","58","64.8","48.7","58","56.3","67.1"
"Martin Landaluce","7","0.33","0.71","0.46","62.3","64.3","43.7","56.5","56.9","67.4"
"Federico Cina","3","0.1","0.23","0.43","68.4","69.7","50.8","63.7","41.7","77.4"
"Dalibor Svrcina","4","0.11","0.32","0.34","66.2","54.8","39.2","49.6","35.5","47.4"
"Damir Dzumhur","27","0.07","0.21","0.33","68.1","61.9","53.2","59.1","63.9","73.4"
"Andrej Martin","3","0.12","0.46","0.26","58.9","64.7","49.4","58.4","65","73.1"
"Pedro Martinez","17","0.06","0.24","0.25","73.4","59.9","43.8","55.6","54.4","63"
"Fabio Fognini","7","0.12","0.49","0.24","54.5","62.5","44.5","54.3","54","57.4"
"Eliot Spizzirri","3","0.03","0.13","0.23","65.6","61.1","53","58.3","29.4","62.5"
"Radu Albot","7","0.06","0.33","0.18","63.6","61.5","40.6","53.9","48.3","60.8"
"Kilian Feldbausch","3","0.02","0.32","0.06","68","61.3","50.6","57.9","52.9","63.6"
