tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-02-16,20,Linda Noskova,21.2,1914.1,,19.0,1869.0,48.0,1744.6,18.0,1759.2,,1959.9,2025-10,,14.0,0.36
WTA,2026-02-16,21,Ekaterina Alexandrova,31.2,1906.7,,24.0,1846.2,17.0,1813.9,11.0,1790.2,,1977.2,2020-02,,12.0,0.56
WTA,2026-02-16,22,Elise Mertens,30.2,1905.3,,23.0,1850.0,15.0,1826.2,17.0,1761.1,,2042.7,2021-04,,22.0,0.0
WTA,2026-02-16,23,Sorana Cirstea,35.8,1903.4,,18.0,1880.3,35.0,1761.5,61.0,1656.9,,1928.2,2009-08,,32.0,-0.33
WTA,2026-02-16,24,Qinwen Zheng,23.3,1901.5,,22.0,1855.0,11.0,1856.5,59.0,1658.6,,2098.3,2024-11,,24.0,0.0
WTA,2026-02-16,25,Victoria Azarenka,36.0,1875.3,,25.0,1839.1,31.0,1769.2,31.0,1719.9,,2312.3,2013-03,,151.0,-1.8
WTA,2026-02-16,26,Diana Shnaider,21.8,1875.2,,28.0,1829.7,18.0,1812.2,28.0,1731.4,,1976.1,2024-08,,21.0,0.21
WTA,2026-02-16,27,Maria Sakkari,30.5,1865.0,,27.0,1829.8,24.0,1802.4,48.0,1680.9,,2067.5,2022-03,,34.0,-0.23
WTA,2026-02-16,28,Mccartney Kessler,26.5,1861.5,,26.0,1832.3,109.0,1624.6,24.0,1743.2,,1933.3,2025-03,,31.0,-0.1
WTA,2026-02-16,29,Katerina Siniakova,29.7,1856.5,,32.0,1810.9,59.0,1720.7,25.0,1739.7,,1950.5,2017-01,,42.0,-0.37
WTA,2026-02-16,30,Eva Lys,24.0,1855.8,,29.0,1816.2,50.0,1740.8,64.0,1649.4,,1896.2,2025-10,,59.0,-0.68
WTA,2026-02-16,31,Sara Bejlek,20.0,1850.6,,39.0,1789.5,25.0,1797.8,138.0,1535.8,,1850.6,2026-02,,41.0,-0.28
WTA,2026-02-16,32,Barbora Krejcikova,30.0,1847.6,,33.0,1810.0,86.0,1675.0,21.0,1751.3,,2054.4,2021-08,,53.0,-0.5
WTA,2026-02-16,33,Liudmila Samsonova,27.2,1846.8,,44.0,1780.5,29.0,1779.7,16.0,1767.9,,1984.3,2023-10,,18.0,0.61
WTA,2026-02-16,34,Janice Tjen,23.7,1845.4,,30.0,1813.0,87.0,1672.7,53.0,1672.7,,1897.7,2025-10,,46.0,-0.3
WTA,2026-02-16,35,Emma Raducanu,23.2,1845.4,,36.0,1793.3,32.0,1766.6,33.0,1713.6,,1998.0,2021-08,,25.0,0.34
WTA,2026-02-16,36,Danielle Collins,31.6,1844.4,,47.0,1772.3,20.0,1808.7,50.0,1680.3,,2061.1,2024-05,,79.0,-0.79
WTA,2026-02-16,37,Leylah Fernandez,23.4,1843.8,,31.0,1811.0,78.0,1694.8,38.0,1693.6,,1977.3,2022-03,,29.0,0.24
WTA,2026-02-16,38,Clara Tauson,23.1,1843.6,,37.0,1792.6,43.0,1750.3,42.0,1688.8,,1949.0,2025-07,,15.0,0.93
WTA,2026-02-16,39,Anastasia Potapova,24.8,1842.4,,38.0,1790.6,26.0,1796.8,54.0,1667.9,,1920.5,2023-06,,76.0,-0.67
WTA,2026-02-16,40,Sonay Kartal,24.2,1840.1,,35.0,1794.5,137.0,1585.4,32.0,1714.7,,1859.8,2026-02,,51.0,-0.24
WTA,2026-02-16,41,Marie Bouzkova,27.5,1838.8,,34.0,1796.6,36.0,1760.7,55.0,1667.4,,1958.3,2022-10,,38.0,0.08
WTA,2026-02-16,42,Xin Yu Wang,24.3,1838.8,,45.0,1780.2,81.0,1690.1,20.0,1754.4,,1853.9,2025-08,,33.0,0.24
WTA,2026-02-16,43,Veronika Kudermetova,28.4,1836.4,,40.0,1785.9,34.0,1764.7,34.0,1709.5,,1981.1,2023-05,,49.0,-0.13
WTA,2026-02-16,44,Jelena Ostapenko,28.6,1831.3,,46.0,1775.1,21.0,1807.4,19.0,1755.0,,2029.5,2017-10,,27.0,0.49
WTA,2026-02-16,45,Katie Boulter,29.5,1825.6,,41.0,1785.2,61.0,1717.7,26.0,1738.6,,1894.3,2024-03,,75.0,-0.51
WTA,2026-02-16,46,Emma Navarro,24.7,1825.5,,50.0,1766.4,40.0,1755.3,22.0,1745.9,,2002.7,2024-08,,19.0,0.88
WTA,2026-02-16,47,Dayana Yastremska,25.7,1825.4,,53.0,1761.3,41.0,1754.8,36.0,1705.2,,1978.4,2019-02,,44.0,0.07
WTA,2026-02-16,48,Elisabetta Cocciaretto,25.0,1824.3,,62.0,1734.2,49.0,1743.5,37.0,1704.3,,1853.5,2023-07,,40.0,0.18
WTA,2026-02-16,49,Olga Danilovic,25.0,1819.1,,67.0,1729.3,27.0,1796.1,68.0,1639.9,,1883.7,2025-05,,89.0,-0.6
WTA,2026-02-16,50,Ons Jabeur,30.8,1817.9,,43.0,1781.0,46.0,1744.9,40.0,1692.0,,2110.5,2022-06,,259.0,-1.64
WTA,2026-02-16,51,Magda Linette,33.9,1816.3,,51.0,1764.4,38.0,1758.3,72.0,1634.4,,1866.6,2023-02,,50.0,0.02
WTA,2026-02-16,52,Karolina Pliskova,33.8,1814.1,,42.0,1783.4,44.0,1747.0,30.0,1725.5,,2089.1,2020-01,,267.0,-1.64
WTA,2026-02-16,53,Varvara Gracheva,25.5,1814.1,,48.0,1772.2,71.0,1703.5,66.0,1643.4,,1825.1,2026-02,,60.0,-0.12
WTA,2026-02-16,54,Lois Boisson,22.3,1811.3,,145.0,1609.9,22.0,1806.9,121.0,1557.6,,1855.3,2025-07,,35.0,0.43
WTA,2026-02-16,55,Ann Li,25.6,1805.2,,56.0,1756.9,60.0,1719.6,111.0,1572.1,,1894.4,2021-03,,36.0,0.42
WTA,2026-02-16,56,Anastasia Pavlyuchenkova,34.6,1803.9,,54.0,1761.0,58.0,1725.7,39.0,1693.3,,2058.1,2011-05,,110.0,-0.68
WTA,2026-02-16,57,Yulia Putintseva,31.0,1803.9,,55.0,1760.3,42.0,1751.0,58.0,1659.2,,1933.4,2025-01,,78.0,-0.31
WTA,2026-02-16,58,Taylor Townsend,29.7,1802.8,,49.0,1769.0,66.0,1707.5,84.0,1610.8,,1849.6,2025-08,,116.0,-0.69
WTA,2026-02-16,59,Camila Osorio,24.1,1800.8,,52.0,1763.5,53.0,1735.3,78.0,1624.6,,1852.0,2023-06,,62.0,-0.05
WTA,2026-02-16,60,Daria Kasatkina,28.7,1798.5,,57.0,1754.0,33.0,1765.5,35.0,1705.3,,2036.5,2018-03,,61.0,-0.02
WTA,2026-02-16,61,Maya Joint,19.8,1795.8,,59.0,1740.4,45.0,1746.6,41.0,1691.5,,1889.3,2025-09,,28.0,0.78
WTA,2026-02-16,62,Jaqueline Cristian,27.6,1793.3,,58.0,1749.7,52.0,1738.9,180.0,1479.5,,1832.8,2026-01,,39.0,0.46
WTA,2026-02-16,63,Lilli Tagger,17.9,1786.1,,64.0,1732.1,91.0,1656.6,116.0,1568.0,,1825.4,2026-02,,114.0,-0.59
WTA,2026-02-16,64,Magdalena Frech,28.1,1780.7,,65.0,1731.1,73.0,1702.2,95.0,1595.2,,1846.4,2024-10,,55.0,0.15
WTA,2026-02-16,65,Paula Badosa,28.2,1779.7,,60.0,1738.9,68.0,1706.1,69.0,1639.8,,2078.1,2022-01,,70.0,-0.07
WTA,2026-02-16,66,Donna Vekic,29.5,1775.9,,66.0,1729.9,57.0,1725.9,44.0,1686.5,,1947.0,2019-08,,99.0,-0.41
WTA,2026-02-16,67,Caty Mcnally,24.1,1775.8,,74.0,1715.7,69.0,1705.4,43.0,1687.2,,1805.5,2019-07,,68.0,-0.01
WTA,2026-02-16,68,Oleksandra Oliynykova,25.0,1775.3,,168.0,1573.1,51.0,1739.2,128.0,1546.9,,1804.5,2025-11,,71.0,-0.04
WTA,2026-02-16,69,Irina Camelia Begu,34.8,1774.7,,88.0,1688.9,39.0,1756.1,83.0,1612.4,,1931.2,2016-05,,149.0,-0.77
WTA,2026-02-16,70,Elena Gabriela Ruse,28.2,1771.3,,69.0,1719.4,70.0,1704.7,51.0,1678.9,,1845.7,2022-02,,80.0,-0.13
WTA,2026-02-16,71,Hailey Baptiste,24.2,1770.4,,70.0,1719.0,67.0,1706.9,96.0,1594.8,,1800.9,2025-06,,45.0,0.46
WTA,2026-02-16,72,Ajla Tomljanovic,32.7,1768.6,,73.0,1717.2,76.0,1695.1,47.0,1681.7,,1907.7,2022-08,,73.0,-0.01
WTA,2026-02-16,73,Alexandra Eala,20.7,1767.0,,72.0,1717.5,166.0,1549.4,45.0,1684.5,,1804.2,2025-09,,47.0,0.44
WTA,2026-02-16,74,Sofia Kenin,27.2,1766.7,,78.0,1710.4,55.0,1730.2,76.0,1627.7,,2057.0,2020-02,,30.0,0.9
WTA,2026-02-16,75,Lulu Sun,24.7,1765.1,,63.0,1732.8,139.0,1584.5,71.0,1634.6,,1831.6,2024-08,,98.0,-0.27
WTA,2026-02-16,76,Laura Siegemund,37.9,1764.2,,75.0,1714.9,89.0,1669.1,57.0,1663.5,,1917.6,2016-08,,52.0,0.38
WTA,2026-02-16,77,Oksana Selekhmeteva,23.0,1763.8,,80.0,1709.1,62.0,1714.7,117.0,1567.4,,1777.6,2026-02,,74.0,0.04
WTA,2026-02-16,78,Alina Korneeva,18.6,1760.6,,61.0,1736.9,206.0,1495.5,134.0,1540.3,,1802.5,2024-10,,131.0,-0.52
WTA,2026-02-16,79,Peyton Stearns,24.3,1759.8,,85.0,1693.3,37.0,1759.4,143.0,1531.9,,1925.1,2025-05,,58.0,0.31
WTA,2026-02-16,80,Katie Volynets,24.0,1756.5,,71.0,1717.7,80.0,1691.8,101.0,1583.8,,1828.5,2024-06,,96.0,-0.18
WTA,2026-02-16,81,Aliaksandra Sasnovich,31.8,1756.2,,79.0,1709.2,83.0,1676.6,63.0,1650.1,,1944.3,2019-01,,113.0,-0.33
WTA,2026-02-16,82,Jessica Bouzas Maneiro,23.3,1755.4,,83.0,1700.1,63.0,1714.0,62.0,1650.8,,1857.3,2025-08,,48.0,0.54
WTA,2026-02-16,83,Viktorija Golubic,33.3,1754.5,,68.0,1724.2,128.0,1603.0,77.0,1627.7,,1836.2,2021-07,,88.0,-0.06
WTA,2026-02-16,84,Bianca Andreescu,25.3,1746.0,,77.0,1711.3,85.0,1675.7,79.0,1624.6,,2157.5,2019-09,,161.0,-0.65
