tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-01-12,1,Aryna Sabalenka,27.6,2221.8,,1.0,2175.6,1.0,2130.2,1.0,1987.6,,2221.8,2026-01,,1.0,0.0
WTA,2026-01-12,2,Elena Rybakina,26.5,2124.0,,2.0,2084.5,4.0,1986.9,3.0,1895.9,,2155.6,2024-04,,5.0,-0.92
WTA,2026-01-12,3,Iga Swiatek,24.5,2118.9,,3.0,2060.8,3.0,2058.7,2.0,1955.2,,2291.0,2024-07,,2.0,0.41
WTA,2026-01-12,4,Coco Gauff,21.8,2104.7,,4.0,2049.5,2.0,2059.9,5.0,1858.1,,2155.7,2024-01,,3.0,0.29
WTA,2026-01-12,5,Amanda Anisimova,24.3,2063.8,,5.0,2014.9,10.0,1869.0,4.0,1892.6,,2086.9,2025-11,,4.0,0.22
WTA,2026-01-12,6,Jessica Pegula,31.8,2035.6,,6.0,1996.6,9.0,1880.1,6.0,1847.9,,2094.9,2024-01,,6.0,0.0
WTA,2026-01-12,7,Jasmine Paolini,29.9,2013.0,,8.0,1954.4,5.0,1943.6,7.0,1815.9,,2058.1,2025-10,,7.0,0.0
WTA,2026-01-12,8,Belinda Bencic,28.8,2000.9,,7.0,1959.1,24.0,1797.5,11.0,1796.9,,2100.0,2015-09,,10.0,-0.22
WTA,2026-01-12,9,Elina Svitolina,31.3,1994.0,,11.0,1924.9,6.0,1928.0,10.0,1798.2,,2120.6,2018-05,,12.0,-0.29
WTA,2026-01-12,10,Karolina Muchova,29.3,1980.9,,9.0,1953.0,15.0,1813.8,23.0,1737.1,,2029.1,2023-08,,19.0,-0.64
WTA,2026-01-12,11,Madison Keys,30.8,1969.3,,13.0,1920.3,8.0,1887.7,13.0,1782.8,,2090.1,2016-08,,9.0,0.2
WTA,2026-01-12,12,Marta Kostyuk,23.5,1956.3,,10.0,1928.0,12.0,1846.6,43.0,1687.2,,1986.1,2024-04,,20.0,-0.51
WTA,2026-01-12,13,Mirra Andreeva,18.6,1946.5,,12.0,1922.6,7.0,1900.5,18.0,1751.6,,2159.2,2025-03,,8.0,0.49
WTA,2026-01-12,14,Victoria Mboko,19.3,1944.1,,14.0,1899.6,22.0,1798.7,44.0,1685.9,,1969.6,2025-07,,17.0,-0.19
WTA,2026-01-12,15,Ekaterina Alexandrova,31.1,1942.2,,17.0,1884.2,13.0,1831.7,9.0,1807.9,,1977.2,2020-02,,11.0,0.31
WTA,2026-01-12,16,Linda Noskova,21.1,1933.0,,15.0,1892.1,41.0,1754.1,14.0,1768.6,,1959.9,2025-10,,13.0,0.21
WTA,2026-01-12,17,Naomi Osaka,28.2,1927.5,,16.0,1885.9,21.0,1801.0,31.0,1718.6,,2193.3,2021-03,,16.0,0.06
WTA,2026-01-12,18,Marketa Vondrousova,26.5,1926.7,,24.0,1843.4,23.0,1797.9,8.0,1815.9,,2062.5,2023-08,,34.0,-0.64
WTA,2026-01-12,19,Elise Mertens,30.1,1904.9,,22.0,1847.0,14.0,1826.0,16.0,1760.9,,2042.7,2021-04,,21.0,-0.1
WTA,2026-01-12,20,Qinwen Zheng,22.9,1904.6,,20.0,1855.5,11.0,1865.5,61.0,1660.2,,2098.3,2024-11,,25.0,-0.22
WTA,2026-01-12,21,Anna Kalinskaya,27.0,1898.2,,21.0,1855.5,39.0,1756.4,24.0,1730.1,,1948.6,2024-04,,33.0,-0.45
WTA,2026-01-12,22,Leylah Fernandez,23.3,1896.2,,18.0,1868.0,60.0,1721.0,29.0,1719.8,,1977.3,2022-03,,22.0,0.0
WTA,2026-01-12,23,Tereza Valentova,18.8,1894.4,,19.0,1856.5,16.0,1811.3,58.0,1666.1,,1939.5,2025-10,,60.0,-0.96
WTA,2026-01-12,24,Liudmila Samsonova,27.1,1881.0,,31.0,1815.0,26.0,1796.8,12.0,1785.1,,1984.3,2023-10,,18.0,0.29
WTA,2026-01-12,25,Victoria Azarenka,36.0,1875.3,,25.0,1839.1,31.0,1769.2,28.0,1719.9,,2312.3,2013-03,,148.0,-1.78
WTA,2026-01-12,26,Barbora Krejcikova,30.0,1872.6,,29.0,1829.0,78.0,1687.5,15.0,1763.8,,2054.4,2021-08,,55.0,-0.75
WTA,2026-01-12,27,Katerina Siniakova,29.4,1871.6,,28.0,1829.1,57.0,1728.3,19.0,1747.3,,1950.5,2017-01,,46.0,-0.53
WTA,2026-01-12,28,Eva Lys,23.9,1870.3,,26.0,1831.3,44.0,1748.0,62.0,1656.7,,1896.2,2025-10,,39.0,-0.33
WTA,2026-01-12,29,Sorana Cirstea,35.7,1868.7,,23.0,1846.5,46.0,1744.1,71.0,1639.6,,1928.2,2009-08,,41.0,-0.35
WTA,2026-01-12,30,Mccartney Kessler,26.4,1866.6,,27.0,1829.8,110.0,1627.1,20.0,1745.7,,1933.3,2025-03,,36.0,-0.18
WTA,2026-01-12,31,Janice Tjen,23.6,1865.5,,30.0,1828.1,82.0,1682.8,47.0,1682.8,,1897.7,2025-10,,56.0,-0.59
WTA,2026-01-12,32,Emma Raducanu,23.1,1862.5,,35.0,1804.6,29.0,1775.1,26.0,1722.2,,1998.0,2021-08,,29.0,0.1
WTA,2026-01-12,33,Clara Tauson,23.0,1858.6,,32.0,1809.4,37.0,1757.9,39.0,1696.4,,1949.0,2025-07,,14.0,0.86
WTA,2026-01-12,34,Diana Shnaider,21.7,1856.8,,33.0,1806.8,19.0,1803.1,27.0,1722.2,,1976.1,2024-08,,23.0,0.39
WTA,2026-01-12,35,Anastasia Potapova,24.7,1854.9,,36.0,1799.5,20.0,1803.0,54.0,1674.1,,1920.5,2023-06,,54.0,-0.43
WTA,2026-01-12,36,Emma Navarro,24.6,1853.0,,38.0,1795.7,32.0,1769.1,17.0,1759.7,,2002.7,2024-08,,15.0,0.88
WTA,2026-01-12,37,Marie Bouzkova,27.4,1847.7,,34.0,1805.5,34.0,1765.1,55.0,1671.9,,1958.3,2022-10,,45.0,-0.2
WTA,2026-01-12,38,Dayana Yastremska,25.6,1845.9,,43.0,1781.1,33.0,1765.1,32.0,1715.4,,1978.4,2019-02,,27.0,0.34
WTA,2026-01-12,39,Danielle Collins,31.6,1844.4,,47.0,1772.3,17.0,1808.7,50.0,1680.3,,2061.1,2024-05,,65.0,-0.51
WTA,2026-01-12,40,Veronika Kudermetova,28.4,1836.4,,42.0,1785.9,35.0,1764.7,34.0,1709.5,,1981.1,2023-05,,31.0,0.25
