tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,atp_rank,log_diff
ATP,2026-01-12,1,Jannik Sinner,24.2,2293.2,,1.0,2245.2,2.0,2153.9,2.0,2075.0,,2329.6,2025-01,,2.0,-0.69
ATP,2026-01-12,2,Carlos Alcaraz,22.5,2272.8,,2.0,2188.9,1.0,2216.6,1.0,2139.7,,2296.4,2025-09,,1.0,0.69
ATP,2026-01-12,3,Novak Djokovic,38.4,2089.9,,3.0,2041.6,3.0,1997.4,3.0,1950.2,,2463.2,2016-05,,4.0,-0.29
ATP,2026-01-12,4,Alexander Zverev,28.6,2038.6,,4.0,1994.3,4.0,1991.9,6.0,1874.2,,2176.5,2022-01,,3.0,0.29
ATP,2026-01-12,5,Alex De Minaur,26.8,2004.3,,6.0,1953.7,10.0,1899.3,9.0,1838.1,,2053.1,2024-06,,6.0,-0.18
ATP,2026-01-12,6,Daniil Medvedev,29.9,1994.0,,5.0,1960.5,8.0,1911.7,5.0,1876.1,,2201.2,2022-01,,12.0,-0.69
ATP,2026-01-12,7,Taylor Fritz,28.1,1990.8,,8.0,1931.1,11.0,1877.9,4.0,1919.5,,2070.2,2025-09,,9.0,-0.25
ATP,2026-01-12,8,Felix Auger Aliassime,25.3,1978.8,,7.0,1944.8,12.0,1860.3,10.0,1790.7,,2062.7,2022-10,,7.0,0.13
ATP,2026-01-12,9,Lorenzo Musetti,23.8,1973.8,,11.0,1895.9,5.0,1981.3,8.0,1852.9,,2050.5,2025-05,,5.0,0.59
ATP,2026-01-12,10,Alexander Bublik,28.5,1973.4,,14.0,1885.2,9.0,1910.7,7.0,1855.7,,1976.5,2025-10,,10.0,0.0
ATP,2026-01-12,11,Casper Ruud,27.0,1950.5,,15.0,1884.2,6.0,1947.3,41.0,1698.5,,2071.9,2022-05,,13.0,-0.17
ATP,2026-01-12,12,Ben Shelton,23.0,1947.5,,10.0,1899.3,16.0,1840.0,13.0,1789.3,,2024.4,2025-08,,8.0,0.41
ATP,2026-01-12,13,Jack Draper,23.6,1932.4,,13.0,1890.1,22.0,1816.6,19.0,1753.5,,2103.8,2025-04,,11.0,0.17
ATP,2026-01-12,14,Joao Fonseca,19.1,1931.9,,9.0,1910.2,23.0,1810.3,37.0,1707.2,,1992.5,2025-03,,30.0,-0.76
ATP,2026-01-12,15,Learner Tien,20.0,1926.9,,12.0,1890.5,121.0,1615.8,38.0,1705.7,,1952.3,2026-01,,27.0,-0.59
ATP,2026-01-12,16,Jiri Lehecka,24.1,1916.3,,16.0,1865.4,26.0,1795.0,11.0,1790.6,,1989.9,2025-10,,19.0,-0.17
ATP,2026-01-12,17,Alejandro Davidovich Fokina,26.5,1905.5,,18.0,1856.9,20.0,1822.0,25.0,1730.5,,1934.8,2025-07,,15.0,0.13
