tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,atp_rank,log_diff
ATP,2026-02-16,1,Carlos Alcaraz,22.7,2293.4,,2.0,2217.5,1.0,2227.0,1.0,2150.1,,2296.4,2025-09,,1.0,0.0
ATP,2026-02-16,2,Jannik Sinner,24.4,2283.6,,1.0,2234.7,2.0,2149.1,2.0,2070.2,,2329.6,2025-01,,2.0,0.0
ATP,2026-02-16,3,Novak Djokovic,38.6,2106.6,,3.0,2059.4,3.0,2005.8,3.0,1958.6,,2463.2,2016-05,,3.0,0.0
ATP,2026-02-16,4,Alexander Zverev,28.7,2056.6,,4.0,2012.8,4.0,2000.9,5.0,1883.2,,2176.5,2022-01,,4.0,0.0
ATP,2026-02-16,5,Alex De Minaur,26.9,2049.1,,5.0,2002.0,7.0,1921.7,8.0,1860.4,,2053.1,2024-06,,6.0,-0.18
ATP,2026-02-16,6,Ben Shelton,23.3,2006.5,,6.0,1963.1,13.0,1869.5,10.0,1818.9,,2024.4,2025-08,,9.0,-0.41
ATP,2026-02-16,7,Taylor Fritz,28.2,2001.0,,9.0,1944.0,11.0,1883.0,4.0,1924.6,,2070.2,2025-09,,8.0,-0.13
ATP,2026-02-16,8,Felix Auger Aliassime,25.5,1996.5,,7.0,1959.9,14.0,1869.2,11.0,1799.6,,2062.7,2022-10,,7.0,0.13
ATP,2026-02-16,9,Lorenzo Musetti,23.8,1996.2,,10.0,1928.2,5.0,1992.5,7.0,1864.1,,2050.5,2025-05,,5.0,0.59
ATP,2026-02-16,10,Daniil Medvedev,29.9,1982.5,,8.0,1948.1,9.0,1906.0,6.0,1870.4,,2201.2,2022-01,,11.0,-0.1
ATP,2026-02-16,11,Alexander Bublik,28.6,1974.1,,13.0,1895.7,8.0,1911.1,9.0,1856.1,,1988.6,2026-01,,10.0,0.1
ATP,2026-02-16,12,Casper Ruud,27.0,1942.8,,15.0,1878.2,6.0,1943.4,41.0,1694.6,,2071.9,2022-05,,13.0,-0.08
ATP,2026-02-16,13,Learner Tien,20.1,1938.4,,12.0,1901.0,121.0,1621.5,34.0,1711.5,,1976.0,2026-01,,23.0,-0.57
ATP,2026-02-16,14,Jack Draper,24.1,1933.6,,14.0,1891.6,22.0,1817.2,18.0,1754.2,,2103.8,2025-04,,12.0,0.15
ATP,2026-02-16,15,Jakub Mensik,20.3,1930.7,,11.0,1904.5,24.0,1795.8,27.0,1726.7,,1968.7,2025-04,,16.0,-0.06
ATP,2026-02-16,16,Francisco Cerundolo,27.4,1907.5,,19.0,1850.1,12.0,1880.1,53.0,1676.0,,1961.6,2025-04,,19.0,-0.17
ATP,2026-02-16,17,Alejandro Davidovich Fokina,26.6,1905.7,,18.0,1859.2,21.0,1822.1,25.0,1730.7,,1934.8,2025-07,,15.0,0.13
ATP,2026-02-16,18,Jiri Lehecka,24.2,1896.3,,21.0,1843.6,26.0,1785.0,14.0,1780.6,,1989.9,2025-10,,22.0,-0.2
ATP,2026-02-16,19,Ugo Humbert,27.6,1887.2,,16.0,1869.9,39.0,1741.4,26.0,1729.7,,2017.7,2024-03,,36.0,-0.64
ATP,2026-02-16,20,Joao Fonseca,19.4,1882.7,,17.0,1869.1,28.0,1773.1,48.0,1682.5,,1992.5,2025-03,,38.0,-0.64
ATP,2026-02-16,21,Andrey Rublev,28.2,1881.2,,22.0,1837.7,15.0,1848.8,12.0,1790.1,,2122.1,2021-04,,14.0,0.41
ATP,2026-02-16,22,Tommy Paul,28.7,1876.3,,27.0,1815.0,19.0,1828.5,24.0,1735.6,,2028.8,2025-05,,24.0,-0.09
ATP,2026-02-16,23,Valentin Vacherot,27.2,1871.9,,20.0,1845.8,52.0,1725.3,106.0,1589.9,,1871.9,2026-02,,26.0,-0.12
ATP,2026-02-16,24,Karen Khachanov,29.7,1871.7,,28.0,1811.9,17.0,1831.8,16.0,1764.0,,2029.5,2018-10,,17.0,0.34
ATP,2026-02-16,25,Sebastian Korda,25.5,1866.4,,24.0,1822.4,34.0,1756.3,15.0,1765.4,,2020.7,2023-01,,50.0,-0.69
ATP,2026-02-16,26,Arthur Fils,21.6,1864.0,,33.0,1792.8,16.0,1838.0,30.0,1718.1,,1985.3,2025-04,,40.0,-0.43
ATP,2026-02-16,27,Stefanos Tsitsipas,27.4,1863.8,,26.0,1816.0,10.0,1903.3,37.0,1705.9,,2145.1,2021-05,,33.0,-0.2
ATP,2026-02-16,28,Tomas Machac,25.3,1859.9,,23.0,1834.2,40.0,1740.0,38.0,1702.9,,1972.7,2025-04,,31.0,-0.1
ATP,2026-02-16,29,Corentin Moutet,26.7,1853.6,,36.0,1788.4,29.0,1769.7,20.0,1743.1,,1881.9,2025-10,,34.0,-0.16
ATP,2026-02-16,30,Cameron Norrie,30.4,1849.7,,32.0,1794.4,20.0,1825.6,19.0,1745.6,,2028.6,2022-08,,27.0,0.11
ATP,2026-02-16,31,Raphael Collignon,24.0,1847.5,,25.0,1818.5,54.0,1724.3,80.0,1621.3,,1851.1,2026-01,,59.0,-0.64
ATP,2026-02-16,32,Matteo Berrettini,29.8,1839.1,,31.0,1794.9,23.0,1812.7,21.0,1742.8,,2065.7,2022-07,,57.0,-0.58
ATP,2026-02-16,33,Hubert Hurkacz,28.9,1837.7,,41.0,1776.4,31.0,1764.6,23.0,1735.7,,2022.5,2024-06,,71.0,-0.77
ATP,2026-02-16,34,Denis Shapovalov,26.8,1831.6,,29.0,1811.9,46.0,1731.0,56.0,1661.3,,1983.2,2020-01,,35.0,-0.03
ATP,2026-02-16,35,Grigor Dimitrov,34.7,1829.5,,34.0,1790.7,38.0,1742.5,42.0,1689.0,,2111.5,2014-08,,42.0,-0.18
ATP,2026-02-16,36,Brandon Nakashima,24.5,1829.2,,38.0,1784.0,47.0,1728.1,22.0,1736.9,,1909.5,2024-09,,29.0,0.22
ATP,2026-02-16,37,Gael Monfils,39.3,1825.0,,30.0,1796.9,70.0,1701.4,55.0,1662.6,,2087.1,2016-10,,170.0,-1.52
ATP,2026-02-16,38,Frances Tiafoe,28.0,1822.8,,40.0,1779.7,27.0,1776.5,33.0,1712.3,,1974.0,2023-06,,28.0,0.31
ATP,2026-02-16,39,Fabian Marozsan,26.3,1822.7,,35.0,1789.8,41.0,1739.4,87.0,1612.5,,1867.2,2024-04,,48.0,-0.21
ATP,2026-02-16,40,Marin Cilic,37.3,1820.3,,42.0,1774.6,51.0,1726.0,13.0,1781.0,,2100.4,2010-02,,43.0,-0.07
ATP,2026-02-16,41,Jaume Munar,28.7,1819.1,,44.0,1769.6,43.0,1737.6,67.0,1644.4,,1830.4,2025-10,,37.0,0.1
ATP,2026-02-16,42,Luciano Darderi,23.9,1818.8,,79.0,1691.9,18.0,1828.9,88.0,1610.5,,1857.0,2024-06,,21.0,0.69
ATP,2026-02-16,43,Rafael Jodar,19.3,1817.6,,37.0,1787.0,123.0,1619.5,89.0,1608.8,,1842.6,2026-02,,118.0,-1.01
ATP,2026-02-16,44,Arthur Rinderknech,30.5,1815.2,,46.0,1764.6,48.0,1727.8,43.0,1687.8,,1871.8,2025-10,,30.0,0.38
ATP,2026-02-16,45,Yibing Wu,26.3,1812.1,,39.0,1782.7,99.0,1650.9,105.0,1592.6,,1882.9,2023-03,,146.0,-1.18
ATP,2026-02-16,46,Eliot Spizzirri,24.1,1810.3,,43.0,1772.1,137.0,1596.1,71.0,1637.2,,1835.5,2026-02,,67.0,-0.38
ATP,2026-02-16,47,Tallon Griekspoor,29.6,1809.6,,49.0,1752.2,30.0,1766.5,17.0,1761.9,,1951.8,2025-06,,25.0,0.63
ATP,2026-02-16,48,Zizou Bergs,26.6,1802.6,,45.0,1765.3,75.0,1692.0,54.0,1664.7,,1859.2,2025-03,,44.0,0.09
ATP,2026-02-16,49,Tomas Martin Etcheverry,26.5,1800.8,,48.0,1753.3,36.0,1745.9,116.0,1579.8,,1871.7,2023-05,,51.0,-0.04
ATP,2026-02-16,50,Flavio Cobolli,23.7,1800.6,,61.0,1721.5,25.0,1792.1,32.0,1712.5,,1895.6,2025-07,,20.0,0.92
ATP,2026-02-16,51,Alex Michelsen,21.4,1795.5,,50.0,1749.0,101.0,1647.6,40.0,1695.4,,1904.8,2025-01,,41.0,0.22
ATP,2026-02-16,52,Holger Rune,22.4,1791.9,,47.0,1759.5,32.0,1763.7,64.0,1648.4,,2082.0,2023-05,,18.0,1.06
ATP,2026-02-16,53,Marcos Giron,32.5,1787.8,,54.0,1736.0,91.0,1665.6,35.0,1710.8,,1874.1,2025-03,,64.0,-0.19
ATP,2026-02-16,54,Arthur Cazaux,23.3,1786.9,,57.0,1731.1,71.0,1699.8,59.0,1655.7,,1811.9,2025-10,,73.0,-0.3
ATP,2026-02-16,55,Kamil Majchrzak,30.0,1781.6,,52.0,1739.7,50.0,1726.1,52.0,1676.4,,1813.1,2025-10,,56.0,-0.02
ATP,2026-02-16,56,Jenson Brooksby,25.2,1780.0,,63.0,1720.3,61.0,1716.2,39.0,1697.4,,2005.3,2022-03,,47.0,0.18
ATP,2026-02-16,57,Lorenzo Sonego,30.6,1779.1,,56.0,1731.4,76.0,1691.5,49.0,1680.5,,1895.3,2021-05,,65.0,-0.13
