tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,atp_rank,log_diff
ATP,2026-02-16,58,Nuno Borges,28.9,1778.3,,51.0,1745.3,57.0,1719.7,79.0,1623.5,,1843.6,2025-03,,45.0,0.25
ATP,2026-02-16,59,Marton Fucsovics,34.0,1777.3,,64.0,1719.6,58.0,1718.4,29.0,1720.4,,1924.2,2021-03,,61.0,-0.03
ATP,2026-02-16,60,Ethan Quinn,21.9,1774.5,,65.0,1719.4,68.0,1703.2,72.0,1635.3,,1803.9,2025-05,,70.0,-0.15
ATP,2026-02-16,61,Sebastian Baez,25.1,1773.7,,68.0,1713.6,42.0,1737.8,137.0,1553.3,,1941.4,2022-07,,32.0,0.65
ATP,2026-02-16,62,Botic Van De Zandschulp,30.3,1772.4,,53.0,1737.8,69.0,1701.9,91.0,1607.1,,1938.0,2022-09,,55.0,0.12
ATP,2026-02-16,63,Jordan Thompson,31.7,1772.4,,55.0,1732.6,133.0,1604.6,36.0,1708.7,,1891.2,2024-12,,111.0,-0.57
ATP,2026-02-16,64,Alejandro Tabilo,28.6,1771.7,,71.0,1706.5,44.0,1734.6,46.0,1684.2,,1895.7,2024-07,,68.0,-0.06
ATP,2026-02-16,65,Chris Rodesch,24.5,1768.5,,59.0,1723.9,96.0,1656.4,61.0,1654.0,,1768.5,2026-02,,142.0,-0.78
ATP,2026-02-16,66,Matteo Arnaldi,24.9,1766.2,,62.0,1721.0,33.0,1760.8,113.0,1584.4,,1902.9,2024-06,,85.0,-0.25
ATP,2026-02-16,67,Reilly Opelka,28.3,1765.3,,58.0,1727.2,78.0,1689.7,69.0,1642.8,,1927.5,2022-04,,69.0,-0.03
ATP,2026-02-16,68,Gabriel Diallo,24.3,1764.5,,82.0,1688.7,66.0,1708.3,44.0,1687.5,,1889.2,2025-06,,39.0,0.56
ATP,2026-02-16,69,Roberto Bautista Agut,37.8,1762.3,,75.0,1696.8,60.0,1716.5,31.0,1715.2,,2033.8,2016-02,,82.0,-0.17
ATP,2026-02-16,70,Zachary Svajda,23.1,1760.8,,74.0,1701.0,175.0,1542.0,28.0,1722.6,,1769.7,2026-02,,106.0,-0.41
ATP,2026-02-16,71,Yannick Hanfmann,34.2,1759.9,,73.0,1701.9,59.0,1717.7,75.0,1632.2,,1843.4,2023-06,,90.0,-0.24
ATP,2026-02-16,72,Juncheng Shang,20.9,1759.2,,69.0,1711.8,102.0,1646.9,57.0,1657.5,,1895.7,2024-09,,261.0,-1.29
ATP,2026-02-16,73,Alexander Blockx,20.8,1758.3,,60.0,1722.0,109.0,1630.0,78.0,1624.2,,1818.2,2026-01,,104.0,-0.35
ATP,2026-02-16,74,Michael Zheng,22.0,1754.5,,67.0,1716.4,229.0,1487.2,131.0,1557.8,,1777.3,2025-09,,152.0,-0.72
ATP,2026-02-16,75,Kei Nishikori,36.0,1748.4,,70.0,1707.5,106.0,1638.1,90.0,1608.3,,2194.2,2016-08,,283.0,-1.33
ATP,2026-02-16,76,Jan Lennard Struff,35.7,1747.0,,84.0,1685.1,64.0,1709.9,66.0,1646.8,,1935.1,2024-07,,77.0,-0.01
ATP,2026-02-16,77,Hamad Medjedovic,22.5,1743.6,,77.0,1695.7,65.0,1708.4,94.0,1604.5,,1844.2,2025-04,,97.0,-0.23
ATP,2026-02-16,78,Giovanni Mpetshi Perricard,22.5,1742.4,,80.0,1691.5,85.0,1676.7,63.0,1653.5,,1862.8,2024-12,,58.0,0.3
ATP,2026-02-16,79,Borna Coric,28.7,1740.9,,83.0,1686.4,49.0,1726.3,74.0,1633.5,,2011.6,2019-01,,127.0,-0.47
ATP,2026-02-16,80,Benjamin Bonzi,29.6,1740.4,,72.0,1704.4,130.0,1607.9,70.0,1639.3,,1835.8,2022-06,,112.0,-0.34
ATP,2026-02-16,81,Alexei Popyrin,26.5,1740.4,,85.0,1684.4,37.0,1744.2,83.0,1614.4,,1902.2,2024-10,,53.0,0.42
ATP,2026-02-16,82,Zhizhen Zhang,29.3,1734.7,,91.0,1674.2,45.0,1732.1,81.0,1618.3,,1830.9,2024-09,,319.0,-1.36
ATP,2026-02-16,83,Ignacio Buse,21.8,1734.6,,156.0,1586.2,62.0,1716.1,149.0,1540.8,,1834.0,2025-09,,91.0,-0.09
ATP,2026-02-16,84,Camilo Ugo Carabelli,26.6,1733.6,,137.0,1602.8,35.0,1749.7,209.0,1483.4,,1771.9,2025-05,,46.0,0.6
ATP,2026-02-16,85,Roman Safiullin,28.0,1731.1,,66.0,1718.1,88.0,1669.1,98.0,1600.8,,1911.3,2024-01,,186.0,-0.78
ATP,2026-02-16,86,Alexandre Muller,29.0,1730.4,,96.0,1667.6,56.0,1721.0,141.0,1549.3,,1801.7,2025-05,,52.0,0.5
ATP,2026-02-16,87,Soon Woo Kwon,28.1,1729.4,,81.0,1691.0,126.0,1617.8,108.0,1588.7,,1830.7,2023-01,,335.0,-1.35
ATP,2026-02-16,88,Miomir Kecmanovic,26.4,1729.0,,86.0,1681.8,80.0,1685.5,77.0,1626.2,,1900.6,2022-04,,83.0,0.06
ATP,2026-02-16,89,Adolfo Daniel Vallejo,21.7,1728.1,,208.0,1513.8,53.0,1724.8,84.0,1614.0,,1728.1,2026-01,,103.0,-0.15
ATP,2026-02-16,90,Nishesh Basavareddy,20.7,1722.9,,76.0,1696.5,223.0,1494.0,147.0,1544.9,,1856.6,2025-01,,192.0,-0.76
ATP,2026-02-16,91,Pablo Carreno Busta,34.5,1722.4,,78.0,1694.1,74.0,1695.9,130.0,1558.9,,2005.1,2021-08,,123.0,-0.3
ATP,2026-02-16,92,David Goffin,35.1,1720.9,,92.0,1673.5,77.0,1691.3,51.0,1677.2,,2048.7,2017-04,,119.0,-0.26
ATP,2026-02-16,93,Arthur Fery,23.5,1720.2,,89.0,1679.9,242.0,1470.1,170.0,1518.5,,1720.2,2026-01,,157.0,-0.52
ATP,2026-02-16,94,Daniel Altmaier,27.4,1719.5,,100.0,1661.3,72.0,1698.6,139.0,1552.5,,1789.1,2021-08,,54.0,0.55
ATP,2026-02-16,95,Dino Prizmic,20.4,1718.8,,106.0,1654.5,73.0,1696.8,134.0,1555.5,,1783.6,2025-09,,122.0,-0.25
ATP,2026-02-16,96,Adrian Mannarino,37.6,1717.7,,87.0,1681.3,187.0,1529.1,47.0,1682.8,,1896.3,2018-01,,49.0,0.67
ATP,2026-02-16,97,Leandro Riedi,24.0,1716.0,,90.0,1675.6,155.0,1580.5,58.0,1655.8,,1823.3,2023-01,,173.0,-0.58
ATP,2026-02-16,98,Lloyd Harris,28.9,1714.8,,93.0,1673.4,142.0,1590.7,60.0,1654.3,,1896.0,2021-10,,155.0,-0.46
ATP,2026-02-16,99,Stan Wawrinka,40.8,1712.1,,88.0,1681.2,98.0,1651.0,92.0,1606.9,,2145.5,2016-01,,98.0,0.01
ATP,2026-02-16,100,Aleksandar Vukic,29.7,1710.6,,94.0,1670.9,148.0,1583.8,86.0,1613.1,,1773.3,2025-01,,88.0,0.13
ATP,2026-02-16,101,Vit Kopriva,28.6,1705.3,,110.0,1646.2,84.0,1682.1,112.0,1586.2,,1760.5,2025-05,,87.0,0.15
ATP,2026-02-16,102,Cristian Garin,29.6,1703.0,,138.0,1602.5,63.0,1712.8,73.0,1635.3,,1889.6,2019-04,,89.0,0.14
ATP,2026-02-16,103,Otto Virtanen,24.6,1699.9,,108.0,1654.2,186.0,1529.4,45.0,1687.5,,1768.8,2024-03,,128.0,-0.22
ATP,2026-02-16,104,Yoshihito Nishioka,30.3,1699.3,,95.0,1670.6,116.0,1623.6,146.0,1545.1,,1884.7,2023-01,,169.0,-0.49
ATP,2026-02-16,105,Francisco Comesana,25.3,1698.9,,101.0,1660.5,90.0,1666.7,129.0,1562.4,,1761.9,2025-08,,63.0,0.51
ATP,2026-02-16,106,Roman Andres Burruchaga,24.0,1694.9,,185.0,1547.3,81.0,1684.4,128.0,1563.1,,1704.9,2026-02,,102.0,0.04
ATP,2026-02-16,107,Alexander Shevchenko,25.1,1692.4,,112.0,1641.2,100.0,1650.6,204.0,1489.0,,1792.0,2024-02,,79.0,0.3
ATP,2026-02-16,108,Quentin Halys,29.2,1692.3,,107.0,1654.2,97.0,1652.8,76.0,1627.6,,1811.4,2023-04,,72.0,0.41
ATP,2026-02-16,109,Arthur Gea,21.0,1691.5,,104.0,1657.0,171.0,1547.2,145.0,1545.7,,1712.5,2026-02,,162.0,-0.4
ATP,2026-02-16,110,Mackenzie Mcdonald,30.7,1691.4,,103.0,1657.4,176.0,1541.9,97.0,1602.2,,1847.6,2023-03,,116.0,-0.05
ATP,2026-02-16,111,Kyrian Jacquet,24.7,1690.7,,97.0,1665.8,160.0,1569.1,124.0,1568.2,,1735.1,2025-02,,153.0,-0.32
ATP,2026-02-16,112,Jacob Fearnley,24.5,1688.8,,111.0,1642.7,82.0,1683.9,85.0,1613.4,,1910.0,2024-10,,84.0,0.29
ATP,2026-02-16,113,Laslo Djere,30.6,1688.3,,134.0,1608.7,55.0,1721.1,126.0,1566.7,,1854.6,2023-09,,114.0,-0.01
ATP,2026-02-16,114,Andrea Vavassori,30.7,1688.1,,105.0,1655.0,104.0,1640.8,152.0,1538.1,,1734.8,2023-04,,614.0,-1.68
ATP,2026-02-16,115,Titouan Droguet,24.6,1688.1,,113.0,1638.1,83.0,1683.3,110.0,1587.2,,1722.4,2025-07,,120.0,-0.04
ATP,2026-02-16,116,Nicolas Jarry,30.2,1685.8,,133.0,1612.0,89.0,1669.0,62.0,1654.0,,1903.0,2023-10,,143.0,-0.21
ATP,2026-02-16,117,Hugo Gaston,25.3,1685.1,,102.0,1658.9,110.0,1629.6,127.0,1566.7,,1795.1,2021-11,,96.0,0.2
ATP,2026-02-16,118,Jason Kubler,32.7,1684.5,,114.0,1635.3,127.0,1615.7,50.0,1679.3,,1790.0,2022-07,,203.0,-0.54
ATP,2026-02-16,119,Luca Van Assche,21.7,1684.2,,99.0,1661.5,135.0,1600.2,143.0,1547.0,,1801.5,2023-04,,130.0,-0.09
ATP,2026-02-16,120,Valentin Royer,24.7,1680.8,,129.0,1618.3,105.0,1640.6,82.0,1616.2,,1800.2,2025-10,,60.0,0.69
ATP,2026-02-16,121,Martin Damm,22.3,1679.0,,109.0,1650.8,305.0,1406.7,65.0,1647.6,,1767.9,1999-11,,125.0,-0.03
ATP,2026-02-16,122,Christopher Oconnell,31.6,1678.6,,98.0,1662.1,128.0,1613.9,148.0,1543.4,,1814.1,2025-03,,95.0,0.25
ATP,2026-02-16,123,Mariano Navone,24.9,1676.9,,197.0,1530.6,67.0,1705.2,187.0,1503.3,,1875.9,2024-04,,74.0,0.51
ATP,2026-02-16,124,Pablo Llamas Ruiz,23.3,1671.9,,154.0,1587.9,92.0,1664.7,160.0,1527.2,,1733.1,2023-08,,189.0,-0.42
ATP,2026-02-16,125,Jack Pinnington Jones,22.8,1671.2,,121.0,1624.5,228.0,1487.2,68.0,1643.0,,1685.0,2026-02,,138.0,-0.1
ATP,2026-02-16,126,Jesper De Jong,25.6,1670.9,,135.0,1603.4,79.0,1687.6,176.0,1516.4,,1741.0,2025-10,,86.0,0.38
ATP,2026-02-16,127,Tomas Barrios Vera,28.1,1670.5,,173.0,1561.8,94.0,1659.0,95.0,1603.4,,1710.3,2023-07,,107.0,0.17
ATP,2026-02-16,128,Damir Dzumhur,33.7,1669.2,,128.0,1619.3,93.0,1660.0,142.0,1547.9,,1895.8,2017-09,,62.0,0.72
ATP,2026-02-16,129,Emilio Nava,24.1,1666.6,,127.0,1619.4,129.0,1608.2,133.0,1557.0,,1738.2,2025-09,,76.0,0.53
ATP,2026-02-16,130,Juan Manuel Cerundolo,24.2,1665.3,,163.0,1575.0,86.0,1671.8,262.0,1450.0,,1774.8,2021-10,,78.0,0.51
ATP,2026-02-16,131,Daniil Glinka,25.7,1665.1,,117.0,1626.4,151.0,1582.5,115.0,1582.5,,1687.5,2026-02,,171.0,-0.27
ATP,2026-02-16,132,Daniel Merida Aguilar,21.3,1661.9,,115.0,1629.3,144.0,1589.6,156.0,1530.9,,1687.9,2026-02,,145.0,-0.09
ATP,2026-02-16,133,Vilius Gaubas,21.0,1661.4,,141.0,1599.7,113.0,1624.5,123.0,1569.4,,1718.5,2025-05,,126.0,0.05
ATP,2026-02-16,134,Coleman Wong,21.6,1661.1,,125.0,1621.1,247.0,1468.1,161.0,1527.0,,1709.8,2026-01,,137.0,-0.02
ATP,2026-02-16,135,Terence Atmane,24.0,1659.2,,118.0,1626.0,139.0,1591.6,169.0,1519.5,,1760.2,2025-09,,66.0,0.72
ATP,2026-02-16,136,Giulio Zeppieri,24.1,1658.4,,119.0,1625.5,145.0,1588.5,103.0,1597.1,,1691.2,2022-07,,156.0,-0.14
ATP,2026-02-16,137,Alex Molcan,28.1,1657.6,,126.0,1620.0,114.0,1624.3,121.0,1573.4,,1872.5,2022-07,,200.0,-0.38
ATP,2026-02-16,138,Luca Nardi,22.5,1657.5,,122.0,1624.2,134.0,1600.9,234.0,1464.9,,1724.6,2024-04,,94.0,0.38
ATP,2026-02-16,139,Zsombor Piros,26.3,1657.2,,142.0,1598.3,107.0,1633.5,140.0,1550.6,,1731.0,2023-04,,178.0,-0.25
ATP,2026-02-16,140,Dalibor Svrcina,23.3,1656.8,,120.0,1625.2,154.0,1581.3,192.0,1497.4,,1712.9,2025-04,,99.0,0.35
ATP,2026-02-16,141,Patrick Kypson,26.2,1656.0,,123.0,1622.4,164.0,1558.3,201.0,1490.2,,1732.4,2026-01,,105.0,0.29
ATP,2026-02-16,142,Mattia Bellucci,24.6,1652.1,,132.0,1612.1,179.0,1539.1,99.0,1600.2,,1814.3,2024-10,,109.0,0.26
ATP,2026-02-16,143,Roberto Carballes Baena,32.8,1652.1,,139.0,1600.4,103.0,1643.1,177.0,1515.8,,1788.1,2024-07,,175.0,-0.2
ATP,2026-02-16,144,Francesco Maestrelli,23.1,1650.7,,116.0,1627.7,158.0,1571.1,225.0,1470.9,,1711.4,2022-07,,110.0,0.27
ATP,2026-02-16,145,Ilia Simakin,22.2,1647.0,,124.0,1621.3,276.0,1433.5,163.0,1523.5,,1679.7,2026-02,,214.0,-0.39
ATP,2026-02-16,146,Rinky Hijikata,24.9,1645.6,,130.0,1616.9,239.0,1473.8,114.0,1583.1,,1744.9,2025-01,,113.0,0.26
ATP,2026-02-16,147,James Duckworth,34.0,1640.2,,131.0,1612.3,193.0,1523.1,125.0,1567.0,,1785.9,2021-11,,80.0,0.61
ATP,2026-02-16,148,Rei Sakamoto,19.6,1639.2,,136.0,1602.9,251.0,1460.9,168.0,1519.6,,1665.0,2026-02,,168.0,-0.13
ATP,2026-02-16,149,Sebastian Ofner,29.7,1638.4,,183.0,1549.5,95.0,1657.7,102.0,1597.8,,1812.7,2024-01,,132.0,0.12
ATP,2026-02-16,150,Nikoloz Basilashvili,33.9,1634.6,,152.0,1589.1,141.0,1591.3,93.0,1604.9,,1889.8,2019-01,,136.0,0.1
ATP,2026-02-16,151,Dusan Lajovic,35.5,1633.7,,170.0,1565.4,112.0,1626.2,198.0,1494.4,,1854.6,2018-10,,129.0,0.16
ATP,2026-02-16,152,Liam Draxl,24.1,1633.6,,145.0,1594.1,168.0,1552.5,217.0,1477.5,,1699.6,2025-07,,149.0,0.02
ATP,2026-02-16,153,Aslan Karatsev,31.9,1633.5,,149.0,1593.3,108.0,1631.9,191.0,1497.5,,1964.6,2021-05,,721.0,-1.55
ATP,2026-02-16,154,Sho Shimabukuro,28.5,1631.9,,147.0,1593.5,207.0,1507.8,117.0,1579.0,,1692.5,2023-09,,135.0,0.13
ATP,2026-02-16,155,Bu Yunchaokete,24.0,1629.8,,155.0,1587.9,153.0,1581.6,249.0,1457.1,,1834.9,2024-09,,148.0,0.05
ATP,2026-02-16,156,Nicolai Budkov Kjaer,19.4,1629.4,,150.0,1591.7,146.0,1585.1,178.0,1514.4,,1749.3,2025-10,,133.0,0.16
ATP,2026-02-16,157,Pedro Martinez,28.7,1629.2,,160.0,1576.8,119.0,1622.5,218.0,1476.0,,1844.3,2022-04,,101.0,0.44
ATP,2026-02-16,158,Nicolas Moreno De Alboran,28.5,1627.8,,144.0,1595.2,159.0,1570.8,173.0,1517.2,,1687.7,2024-11,,636.0,-1.39
ATP,2026-02-16,159,Aleksandar Kovacevic,27.4,1627.7,,140.0,1599.8,221.0,1495.0,202.0,1489.8,,1758.8,2024-04,,75.0,0.75
ATP,2026-02-16,160,Francesco Passaro,25.0,1627.2,,159.0,1579.1,125.0,1617.9,227.0,1470.0,,1779.0,2022-08,,163.0,-0.02
ATP,2026-02-16,161,Borna Gojo,27.9,1626.3,,143.0,1596.8,120.0,1622.1,274.0,1439.9,,1800.2,2023-10,,237.0,-0.39
ATP,2026-02-16,162,Michael Mmoh,28.0,1625.6,,146.0,1594.1,194.0,1522.7,158.0,1529.6,,1762.3,2017-02,,355.0,-0.78
ATP,2026-02-16,163,Ugo Blanchet,27.0,1623.9,,151.0,1589.7,181.0,1536.6,203.0,1489.5,,1662.1,2025-08,,164.0,-0.01
ATP,2026-02-16,164,Fabio Fognini,38.1,1622.9,,167.0,1568.7,122.0,1620.0,135.0,1554.3,,2003.8,2014-04,,,
ATP,2026-02-16,165,Clement Chidekh,24.6,1621.2,,148.0,1593.4,293.0,1422.2,180.0,1510.6,,1695.5,2024-03,,205.0,-0.22
ATP,2026-02-16,166,Colton Smith,22.9,1618.6,,157.0,1584.0,213.0,1501.2,118.0,1578.2,,1837.6,2025-06,,141.0,0.16
ATP,2026-02-16,167,Dane Sweeny,24.9,1617.8,,153.0,1589.1,342.0,1374.1,259.0,1452.7,,1645.7,2026-02,,134.0,0.22
ATP,2026-02-16,168,Harold Mayot,23.9,1614.7,,161.0,1576.8,140.0,1591.4,167.0,1521.5,,1701.9,2024-06,,174.0,-0.04
ATP,2026-02-16,169,Thiago Agustin Tirante,24.8,1614.2,,158.0,1579.2,147.0,1584.3,197.0,1495.6,,1707.7,2025-08,,92.0,0.61
ATP,2026-02-16,170,Gustavo Heide,23.9,1612.2,,224.0,1494.2,131.0,1607.0,220.0,1475.6,,1661.1,2024-07,,258.0,-0.42
ATP,2026-02-16,171,Dhakshineswar Suresh,25.8,1610.6,,172.0,1563.4,297.0,1415.3,186.0,1505.3,,1616.6,2025-10,,472.0,-1.02
